date,orders,status,value,service_name 
5/1/2016,0,Other,18200,Uber_MART
5/1/2016,0,Other,300300,Uber_MASSAGE
5/1/2016,740,Other,16778580,Uber_RIDE
5/1/2016,60,Other,2420600,Uber_SEND
5/1/2016,50,Other,1503320,Uber_SHOP
6/1/2016,190,Cancelled,74894820,Uber_BOX
6/1/2016,10,Cancelled,2466100,Uber_CLEAN
6/1/2016,36480,Cancelled,636326600,Uber_FOOD
6/1/2016,10,Cancelled,919100,Uber_GLAM
6/1/2016,0,Cancelled,27300,Uber_KILAT
6/1/2016,1850,Cancelled,25844000,Uber_MART
6/1/2016,50,Cancelled,10501400,Uber_MASSAGE
6/1/2016,56210,Cancelled,1310980580,Uber_RIDE
6/1/2016,5980,Cancelled,237489980,Uber_SEND
6/1/2016,12760,Cancelled,335016500,Uber_SHOP
6/1/2016,170,Cancelled,,Uber_TIX
6/1/2016,530,Completed,213135195,Uber_BOX
6/1/2016,130,Completed,21284900,Uber_CLEAN
6/1/2016,69770,Completed,1178804900,Uber_FOOD
6/1/2016,50,Completed,7957950,Uber_GLAM
6/1/2016,20,Completed,518700,Uber_KILAT
6/1/2016,2570,Completed,35981400,Uber_MART
6/1/2016,360,Completed,69726020,Uber_MASSAGE
6/1/2016,351810,Completed,7360100020,Uber_RIDE
6/1/2016,32010,Completed,1180064340,Uber_SEND
6/1/2016,17210,Completed,424151000,Uber_SHOP
6/1/2016,20,Completed,,Uber_TIX
6/1/2016,20,Failed/Timeout,273000,Uber_TIX
6/1/2016,70,No Driver Found,38929800,Uber_BOX
6/1/2016,10,No Driver Found,1537900,Uber_CLEAN
6/1/2016,1470,No Driver Found,30894500,Uber_FOOD
6/1/2016,10,No Driver Found,2502500,Uber_GLAM
6/1/2016,10,No Driver Found,127400,Uber_MART
6/1/2016,20,No Driver Found,3758300,Uber_MASSAGE
6/1/2016,1650,No Driver Found,37992500,Uber_RIDE
6/1/2016,90,No Driver Found,3339700,Uber_SEND
6/1/2016,70,No Driver Found,1885520,Uber_SHOP
6/1/2016,0,Other,45500,Uber_FOOD
6/1/2016,10,Other,176540,Uber_RIDE
6/1/2016,0,Other,45500,Uber_SEND
6/1/2016,0,Other,27300,Uber_SHOP
7/1/2016,200,Cancelled,83905185,Uber_BOX
7/1/2016,10,Cancelled,1947400,Uber_CLEAN
7/1/2016,33540,Cancelled,580307000,Uber_FOOD
7/1/2016,10,Cancelled,819000,Uber_GLAM
7/1/2016,0,Cancelled,54600,Uber_KILAT
7/1/2016,1510,Cancelled,21075600,Uber_MART
7/1/2016,50,Cancelled,10255700,Uber_MASSAGE
7/1/2016,66710,Cancelled,1494727780,Uber_RIDE
7/1/2016,7200,Cancelled,284804520,Uber_SEND
7/1/2016,11940,Cancelled,310664900,Uber_SHOP
7/1/2016,370,Cancelled,,Uber_TIX
7/1/2016,440,Completed,189356895,Uber_BOX
7/1/2016,120,Completed,17952480,Uber_CLEAN
7/1/2016,68630,Completed,1159558400,Uber_FOOD
7/1/2016,30,Completed,6106100,Uber_GLAM
7/1/2016,30,Completed,600600,Uber_KILAT
7/1/2016,2040,Completed,28592200,Uber_MART
7/1/2016,340,Completed,66606540,Uber_MASSAGE
7/1/2016,349780,Completed,7342427820,Uber_RIDE
7/1/2016,33000,Completed,1217767460,Uber_SEND
7/1/2016,16380,Completed,403852540,Uber_SHOP
7/1/2016,50,Completed,,Uber_TIX
7/1/2016,40,Failed/Timeout,,Uber_TIX
7/1/2016,30,No Driver Found,19274710,Uber_BOX
7/1/2016,1560,No Driver Found,32614400,Uber_FOOD
7/1/2016,20,No Driver Found,3822000,Uber_GLAM
7/1/2016,30,No Driver Found,4868500,Uber_MASSAGE
7/1/2016,10060,No Driver Found,212282980,Uber_RIDE
7/1/2016,550,No Driver Found,20884500,Uber_SEND
7/1/2016,40,No Driver Found,1350440,Uber_SHOP
7/1/2016,10,Other,238420,Uber_RIDE
8/1/2016,300,Cancelled,123198530,Uber_BOX
8/1/2016,0,Cancelled,391300,Uber_CLEAN
8/1/2016,35960,Cancelled,628600700,Uber_FOOD
8/1/2016,0,Cancelled,609700,Uber_GLAM
8/1/2016,10,Cancelled,109200,Uber_KILAT
8/1/2016,1920,Cancelled,26899600,Uber_MART
8/1/2016,40,Cancelled,7653100,Uber_MASSAGE
8/1/2016,64140,Cancelled,1475306560,Uber_RIDE
8/1/2016,6950,Cancelled,276470740,Uber_SEND
8/1/2016,13520,Cancelled,352230060,Uber_SHOP
8/1/2016,460,Cancelled,,Uber_TIX
8/1/2016,700,Completed,297318840,Uber_BOX
8/1/2016,110,Completed,18787860,Uber_CLEAN
8/1/2016,74460,Completed,1259713000,Uber_FOOD
8/1/2016,50,Completed,8781500,Uber_GLAM
8/1/2016,40,Completed,764400,Uber_KILAT
8/1/2016,2360,Completed,33051200,Uber_MART
8/1/2016,290,Completed,57129800,Uber_MASSAGE
8/1/2016,397650,Completed,8308940640,Uber_RIDE
8/1/2016,37000,Completed,1356899180,Uber_SEND
8/1/2016,17680,Completed,437002020,Uber_SHOP
8/1/2016,30,Completed,,Uber_TIX
8/1/2016,50,Failed/Timeout,,Uber_TIX
8/1/2016,70,No Driver Found,44452590,Uber_BOX
8/1/2016,0,No Driver Found,163800,Uber_CLEAN
8/1/2016,2340,No Driver Found,49112700,Uber_FOOD
8/1/2016,30,No Driver Found,5541900,Uber_GLAM
8/1/2016,10,No Driver Found,1219400,Uber_MASSAGE
8/1/2016,4490,No Driver Found,94874780,Uber_RIDE
8/1/2016,220,No Driver Found,8341060,Uber_SEND
8/1/2016,50,No Driver Found,1430520,Uber_SHOP
8/1/2016,0,Other,54600,Uber_FOOD
